,İlaç Adı
2165,"dianefrol 137 %1,36 glukoz iceren periton diyaliz coz. 2500 ml cift torba aletli periton diyaliz cihaz seti+mini kapak ile"
2166,"dianefrol 137 %1,36 glukoz iceren periton diyaliz cozeltisi 5000 ml tekli"
2167,dianefrol 137 %1.36 glukoz iceren periton diyaliz cozeltisi 2000 ml tekli
2168,dianefrol 137 %2.27 glukoz iceren periton diyaliz cozeltisi 2000 ml cift torba mini kapakli
2169,dianefrol 137 %2.27 glukoz iceren periton diyaliz cozeltisi 2000 ml. tekli torba
2170,dianefrol 137 %2.27 glukoz iceren periton diyaliz cozeltisi 2500 ml cift torba mini kapakli
2171,dianefrol 137 %2.27 glukoz iceren periton diyaliz cozeltisi 5000 ml. tekli torba
2172,"dianefrol 137 %3,86 glukoz iceren periton diyaliz coz. 2500 ml cift torba aletli periton diyaliz cihaz seti+mini kapak ile"
2173,"dianefrol 137 %3,86 glukoz iceren periton diyaliz cozeltisi 2000 ml tekli"
2174,dianefrol 137 %3.86 glukozlu peritoneal diyaliz coz. ciftli torba 2000 ml mini kapakli
2175,dianefrol 137 %3.86 glukozlu peritoneal diyaliz coz. tekli torba 5000 ml
2176,"dianefrol 4 %1,36 glukoz iceren periton diyaliz cozeltisi (2500 ml tekli torba)"
2177,"dianefrol 4 %1,36 glukoz iceren periton diyaliz cozeltisi tekli torba 2000 ml"
2178,"dianefrol 4 %1,36 glukoz iceren periton diyaliz cozeltisi tekli torba 5000 ml"
2179,"dianefrol 4 %1,36 glukoz iceren periton diyaliz cozeltisi tekli torba 6000 ml"
2180,"dianefrol 4 %1,36 glukoz iceren periton diyaliz cozeltisi(1000ml cift torba mini kapak ile)"
2181,"dianefrol 4 %1,36 glukoz iceren periton diyaliz cozeltisi(2000ml cift torba mini kapak ile)"
2182,"dianefrol 4 %1,36 glukoz iceren periton diyaliz cozeltisi(2500ml cift torba mini kapak ile)"
2183,"dianefrol 4 %2,27 glukoz iceren periton diyaliz cozeltisi (2500 ml tekli torba)"
2184,"dianefrol 4 %2,27 glukoz iceren periton diyaliz cozeltisi tekli torba 2000 ml"
2185,"dianefrol 4 %2,27 glukoz iceren periton diyaliz cozeltisi tekli torba 5000 ml"
2186,"dianefrol 4 %2,27 glukoz iceren periton diyaliz cozeltisi tekli torba 6000 ml"
2187,"dianefrol 4 %2,27 glukoz iceren periton diyaliz cozeltisi(1000ml cift torba mini kapak ile)"
2188,"dianefrol 4 %2,27 glukoz iceren periton diyaliz cozeltisi(2000ml cift torba mini kapak ile)"
2189,"dianefrol 4 %2,27 glukoz iceren periton diyaliz cozeltisi(2500ml cift torba mini kapak ile)"
2190,"dianefrol 4 %3,86 glukoz iceren periton diyaliz cozeltisi (2500 ml tekli torba)"
2191,"dianefrol 4 %3,86 glukoz iceren periton diyaliz cozeltisi (6000 ml tekli torba)"
2192,"dianefrol 4 %3,86 glukoz iceren periton diyaliz cozeltisi tekli torba 2000 ml"
2193,"dianefrol 4 %3,86 glukoz iceren periton diyaliz cozeltisi tekli torba 5000 ml"
2194,"dianefrol 4 %3,86 glukoz iceren periton diyaliz cozeltisi(1000ml cift torba mini kapak ile)"
2195,dianefrol 4 %3.86 glukoz iceren periton diyaliz coz 2000 ml cift torba mini kapak ile
2196,diasip cilek 200 ml
2197,diasip vanilya 200 ml
2198,diazem 10 mg 10 ampul
2199,diazem 10 mg 25 kapsul
2200,diazem 2 mg 25 kapsul
2201,diazem 5 mg 25 kapsul
2202,diazepam desitin 5 mg 5 rektal tup
2203,diazepam desitin rec 10 mg 5 rektal tup
2204,diazomid 250 mg 10 tablet
2205,dicetel 50 mg 40 film tablet
2206,dicetel 50 mg 80 film tablet
2207,diclactive %1 jel 50 gr
2208,diclasil 5 mg film tablet (14 film tablet)
2209,diclasil 5 mg film tablet (28 film tablet)
2210,dicloflam 50 mg kapli tablet (20 kapli tablet)
2211,diclogesic 50 mg kapli tablet (20 tablet)
2212,diclomec %1 50 gr jel
2213,diclomec 3 ml 75 mg 10 ampul
2214,diclomec 3 ml 75 mg 4 ampul
2215,diclomec fort %2.32 jel (50 g)
2216,diclomec sr 100 mg 10 tablet
2217,diclomec sr 75 mg 10 tablet
2218,dicloponac 50 mg kapli tablet (20 tablet)
2219,dicol jel %1 50 gr
2220,dideral 40 mg film kapli tablet (50 tablet)
2221,"dienille 2 mg/0,03 mg 21 film kapli tablet"
2222,dienomet 2 mg 28 tablet
2223,difenak %1 50 g jel
2224,difenak 100 mg 10 tablet
2225,difenject 75 mg/3 ml im enjeksiyonluk 10 ampul
2226,"difestol %1,2+%2 jel 30 gr"
2227,"differin % 0,1 jel 30 g"
2228,difilin 300 mg 6 ampul
2229,difurat 120 mg gastrorezistan sert kapsul (14 kapsul)
2230,difurat 240 mg gastrorezistan sert kapsul (56 kapsul)
2231,"digoxin - assos 0,5 mg /2 ml iv enjeksiyonluk cozelti 5 ampul "
2232,"digoxin- assos 0,25 mg 50 tablet"
2233,"digoxin assos 0,5 mg/ml oral damla, cozelti (1 sise)"
2234,diklofar %1 jel 50 gr
2235,diklojik 75 mg 3 ml 10 ampul
2236,diklojik 75 mg 3 ml 4 ampul
2237,dikloron %1 50 gr jel
2238,dikloron 100 mg 10 retard film tablet
2239,dikloron 25 mg 30 film tablet
2240,dikloron 50 mg 20 enterik kapli film tablet
2241,dikloron 75 mg im 10 ampul
2242,dikloron 75 mg im 4 ampul
2243,dikloron emulgel forte %2.32 jel (50 g)
2244,dikloron sr 75 mg 10 film tablet
2245,dilaprost 5 mg 30 film kapli tablet
2246,"dilatrend 12,5 mg 30 tablet"
2247,dilatrend 25 mg 30 tablet
2248,"dilatrend 3,125 mg tablet (28 tablet)"
2249,"dilatrend 6,25 mg 30 tablet"
2250,dilopin   5 mg 30 tablet
2251,dilopin 10 mg 20 tablet
2252,dilopin 10 mg 30 tablet
2253,dilopin 5 mg 20 tablet
2254,diloxol 75 mg 28 film tablet
2255,diltizem 25 mg 1 flakon
2256,diltizem 30 mg 48 tablet
2257,diltizem 60 mg 48 tablet
2258,diltizem sr 120 mg 48 tablet
2259,diltizem sr 90 mg 48 tablet
2260,diormin 500 mg film kapli tablet (60 tablet)
2261,diormin 850 mg film kapli tablet (60 tablet)
2262,diovan 160 mg 28 film kapli tablet
2263,diovan 320 mg 28 film kapli tablet
2264,diovan 80 mg 28 film kapli tablet
2265,dipromed enj. icin sus. iceren ampul
2266,diprospan 5 mg+2mg/ 1 ml enjeksiyonluk suspansiyon (1 ampul)
2267,diprover 2 mg + 5 mg/ml enjeksiyonluk suspansiyon
2268,disaver 50 mg film kapli tablet (40 tablet)
2269,disaver 50 mg film kapli tablet (80 tablet)
2270,"disinol 2 g+0,5 g+3,5 g/10 ml cozelti (10 ml)"
2271,diterin 100 mg cozunebilir 30 tablet
2272,divator 10 mg 30 film tablet
2273,divator 20 mg 30 film tablet
2274,divina 21 tablet
2275,diyatix 50 mg tablet (56 tablet)
2276,dobcard 250 mg / 20 ml infuzyon icin konsantre cozleti iceren 10 ampul
2277,docetu 20 mg iv infuzyon coz. iceren 1 flakon
2278,docetu 80 mg/ 4ml iv infuzyon icin kons. cozelti iceren 1 flakon (10 ml)
2279,dodex 1 ml 1000 mcg 5 ampul
2280,doenza 10 mg 28 film tablet
2281,doenza 5 mg 28 film tablet
2282,doenza odt 10 mg 28 agizda dagilan tablet
2283,doenza odt 5 mg 28 agizda dagilan tablet
2284,doladamon 10 mg 20 draje
2285,dolarit 300 mg 10 film tablet
2286,dolarit 400 mg 14 film tablet
2287,dolelac 500 mg film kapli tablet (14 tablet)
2288,dolgit %5 krem (50 g)
2289,doline 100 mg 50 ml sprey
2290,doline 50 mg 40 g jel
2291,doline- im 1000 mg 1 ampul
2292,dolorex %1 jel (50 g)
2293,dolorex 50 mg 20 draje
2294,dolorin cold  30 tablet
2295,dolorin cold 200 mg/30 mg tablet (30 tablet)
2296,dolospas film tablet (30 tablet)
2297,dolphin 500 mg 10 film tablet
2298,"dolte %0,5 goz damlasi 5ml 1 adet"
2299,dolven 100 mg/5 ml pediyatrik 100 ml surup
2300,domirpa 100 mg/25 mg tablet
2301,domirpa hbs 100 mg/25 mg sert kapsul (30 kapsul)
2302,donaxyl 10 mg 6 vajinal tablet
2303,doneptin 10 mg/10 mg 28 film kapli tablet
2304,doneptin 10 mg/20 mg 28 film kapli tablet
2305,doneptin 5 mg/10 mg 28 film kapli tablet
2306,doneptin 5 mg/20 mg 28 film kapli tablet
2307,doneptin 5 mg/5 mg 10 film kapli tablet
2308,dopadex sr 25 mg/100 mg uzatilmis salimli 100 tablet
2309,dopadex sr 50 mg/200 mg uzatilmis salimli 100 tablet
2310,dopadren 200 mg/5 ml enjeksiyonluk solusyon iceren 5 ampul
2311,dopalevo 100/25/200 mg 100 film tablet
2312,"dopalevo 125/31,25/200 mg 100 film kapli tablet"
2313,"dopalevo 150/37,5/200 mg 100 film kapli tablet"
2314,"dopalevo 175/43,75/200 mg 100 film tablet"
2315,dopalevo 200/50/200 mg 100 film tablet
2316,"dopalevo 50/12,5/200 mg 100 film tablet"
2317,"dopalevo 75/18,75/200 mg 100 film tablet"
2318,dopasel 200 mg/5ml iv inf.icin sol.iceren ampul
2319,doramycin 3000000 iu 10 film tablet
2320,doramycin 3000000 iu film tablet (14 film tablet)
2321,"doranit 2,5 mg/5 ml 150 ml surup"
2322,dorifen 400 mg/100 ml iv infuzyonluk cozelti (1 flakon)
2323,dorsilon 200 mg 20 tablet
2324,"dostinex 0,5 mg 2 tablet"
2325,"dosti̇nex 0,5 mg tablet (8 bölünebi̇li̇r tablet)
"
2326,dotarem 10 ml
2327,dotarem 15 ml
2328,dotarem 20 ml
2329,"doxafin 2,5 mg/ml 150 ml surup"
2330,doxafin 5 mg 20 film tablet
2331,doxel ready 20 mg/1 ml iv inf. icin kon. coz. iceren flakon
2332,doxel ready 80 mg4 ml iv inf. icin kon. coz. iceren flakon
2333,doxitax tec 160 mg/8 ml iv  infuzyonluk cozelti ( 1 flakon)
2334,doxitax tec 20 mg/1 ml  iv infuzyonluk cozelti ( 1 flakon)
2335,doxitax tec 40 mg/2 ml  iv infuzyonluk cozelti (1 flakon)
2336,doxitax tec 80 mg/4 ml  iv infuzyonluk cozelti ( 1 flakon)
2337,doxium 1000 mg 60 tablet
2338,doxium 500 mg 60 kapsul
2339,doxorubicin kocak 10 mg iv/intravesikal infuzyon icin liyofilize toz iceren 1 flk+1 amp
2340,doxorubicin kocak 50 mg iv/intravesikal infuzyon icin liyofilize toz iceren 1 flk+1 amp
2341,doxtu 10 mg/5 ml iv/intravesikal konsantre infuzyon cozeltisi iceren flakon 
2342,doxtu 50 mg/25 ml iv/intravesikal konsantre infuzyon cozeltisi iceren flakon 
2343,dozyl 10 mg 28 film tablet
2344,dozyl 5 mg 14 film tablet
2345,dozyl 5 mg 28 film tablet
2346,dozyl easy 10 mg agizda dagilan 28 tablet
2347,dozyl easy 5 mg agizda dagilan 28 tablet
2348,dr. go fine insulin kalem ignesi 31g*5mm
2349,dr. go fine insulin kalem ignesi 31g*6mm
2350,dr. go fine insulin kalem ignesi 31g*8mm
2351,dr. go fine insulin kalem ignesi 32g*4mm
2352,dramamine 50 mg 12 tablet
2353,dramamine 50 mg 5 ampul
2354,"drasoter %0,004 goz damlasi, cozelti (2,5 ml)"
2355,"drasoter-t % 0.004 + % 0.5 goz damlasi, cozelti (1 adet)"
2356,draxol 400 mg film kapli tablet (24 film kapli tablet)
2357,"d-rise 15.000 i.u./ml oral damla, cozelti (10 ml)"
2358,droflu cold 20 tablet
2359,droflu cold plus surup 100 ml
2360,dropia 15 mg 30 tablet
2361,dropia 15 mg 30 tablet
2362,dropia 30 mg 30 tablet
2363,dropia 30 mg 30 tablet
2364,dropia 45 mg 30 tablet
2365,dropia 45 mg 30 tablet
2366,dropia-met 15 mg/1000 mg film kapli tablet (30 film kapli tablet)
2367,dropia-met 15 mg/1000 mg film kapli tablet (60 film kapli tablet)
2368,dropia-met 15/500 mg 30 film kapli tablet
2369,dropia-met 15/500 mg 60 film kapli tablet
2370,dropia-met 15/500 mg 90 film kapli tablet
2371,dropia-met 15/850 mg 30 film kapli tablet
2372,dropia-met 15/850 mg 60 film kapli tablet
2373,dropia-met 15/850 mg 90 film kapli tablet
2374,"dropoetin 2000 iu/0,2 ml sc/iv enjeksiyon icin cozelti iceren kullanima hazir 6 siringa"
2375,"dropoetin 3000 iu/0,3 ml sc/iv enjeksiyon icin cozelti iceren kullanima hazir 6 siringa"
2376,"dropoetin 4000 iu/0,4 ml sc/iv enjeksiyon icin cozelti iceren kullanima hazir 6 siringa"
2377,"dropolev 60 mg/ml oral damla, 30 ml"
2378,dropolev surup 150 ml
2379,dropolev-s 30 mg/5 ml surup
2380,"drosetil 3 mg/0,03 mg 21 film kapli tablet"
2381,"drospera 3 mg/0,02 mg (24+4) film kapli tablet"
2382,"dryex %0,15 goz damlasi"
2383,duact 30 kapsul
2384,"dulcolax 2,5 mg 50 yumusak jelatin kapsul"
2385,dulester 30 mg 28 kapsul
2386,dulester 60 mg 28 kapsul
2387,duloxx 30 mg  gastro-rezistan sert kapsul (28 kapsul)
2388,duloxx 60 mg  gastro-rezistan sert kapsul (28 kapsul)
2389,duocid 250 mg/ 5 ml oral süspansi̇yon i̇çi̇n kuru toz (100 ml)
2390,"duocid 250mg/5ml oral süspansi̇yon i̇çi̇n kuru toz-40 ml
"
2391,"duocid 250mg/5ml oral süspansi̇yon i̇çi̇n kuru toz-70 ml
"
2392,duocid 375 mg film kapli tablet(10 tablet)
2393,duocid 375 mg film kapli tablet(20 tablet)
2394,duoderm 15 gr solusyon
2395,duopezil 10 mg/10 mg 28 film tablet
2396,duopezil 10 mg/20 mg 28 film tablet
2397,duopezil 5 mg/10 mg film kapli tablet (28 film kapli tablet)
2398,"duosopt free 20 mg + 5 mg/ml goz damlasi, cozelti (60 adet)"
2399,"duotrav oftalmik solusyon 2,5 ml"
2400,"dupatin %0,2 steril oftalmik cozelti (2,5 ml)"
2401,dupati̇n % 0.1 steri̇l oftalmi̇k çözelti̇(1şi̇şe) 5ml
2402,duphalac surup 670 mg/ml 300 ml
2403,duphaston 10 mg 20 tablet
2404,durogesic 100 mcg/saat 5 transdermal flaster
2405,durogesic 12 mcg/saat 5 transdermal flaster
2406,durogesic 25 mcg/saat 5 transdermal flaster
2407,durogesic 50 mcg 5 tts flaster
2408,durogesic 75 mcg/saat 5 transdermal flaster
2409,durumex %3 merhem (20 g)
2410,durumex %3 merhem (50 g)
2411,duskonal 200 mg retard 30 kapsul
2412,duspatalin 100 mg 50 draje
2413,duspatalin retard 200 mg 30 kapsul
2414,dusuk proteinli dalia likit sut(200 mlx24 adet)
2415,"dutapros 0,5 mg 30 yumusak kapsul"
2416,duxalta 30 mg 28 kapsul
2417,duxalta 60 mg 28 kapsul
2418,duxet 30 mg gastro-rezistan sert kapsul (28 kapsul)
2419,duxet 60 mg gastro-rezistan sert kapsul (28 kapsul)
2420,d-vitanol 150000 iu / 10ml oral damla cozelti (1 adet)
2421,dyloxia 30 mg 28 kapsul
2422,dyloxia 60 mg 28 kapsul
2423,dynabac 10 enterik kapli tablet
2424,dysport 500 u enjeksiyonluk cozelti icin toz iceren flakon
2425,e.s. enema tibbi laksatif 135 ml lavman
2426,e.s. enema tibbi laksatif 210 ml lavman
2427,"e.s. enema tibbi laksatif 67,5 ml lavman"
2428,e.z.cat baryum sulfat suspansiyon 1 x 225 ml
2429,easymax marka kan şekeri olcum seridi
2430,easymax mini kan sekeri olcum cihazi
2431,eb sensor kan sekeri olcme cihazi
2432,eb sensor kan sekeri test stripi
2433,ebafit 10 mg 20 film kapli tablet
2434,ebafit 20 mg 20 film kapli tablet
2435,ebetaxel 300 mg/50 ml iv infuzyon icin konsantre cozelti iceren 1 flakon
2436,"ebetaxel ebewe 100mg/16,6ml iv inf. icin kon.coz.iceren flakon"
2437,ebetaxel ebewe 150mg/25 ml iv inf. icin kon.coz.iceren flakon
2438,ebetaxel ebewe 30mg/5ml iv infuzyon icin kons. cozelti iceren flakon
2439,ebfine insulin kalem ucu (s) 30g (8mm)
2440,ebfine insulin kalem ucu (s) 31g (5mm)
2441,ebfine insulin kalem ucu (s) 31g (8mm)
2442,ebfine insulin kalem ucu (s) 32g (4mm)
2443,ebfine insulin kalem ucu (s)31g (6mm)
2444,ebicomb 10 mg / 10 mg 28 efervesan tablet
2445,ebicomb 10 mg / 20 mg 100 efervesan tablet
2446,ebicomb 10 mg / 20 mg 28 efervesan tablet
2447,ebicomb 5 mg / 10 mg 28 efervesan tablet
2448,ebicomb 5 mg / 5 mg 10 efervesan tablet
2449,ebixa 10 mg 100 tablet
2450,ebixa 10 mg 50 film tablet
2451,ebixa 20 mg 28 film tablet
2452,ebixa 20 mg 84 film tablet
2453,ecopirin 100 mg 30 enterik kapli tablet
2454,ecopirin 150 mg 30 enterik kapli tablet
2455,ecopirin 300 mg 30 enterik kapli tablet
2456,ecopirin pro 81  mg 30 enterik kapli tablet
2457,"ectopix %0,1 krem (30 gr)"
2458,"ectopix %0,1 merhem (30 g )"
2459,"ectopix m %0,1 losyon"
2460,"ectopix s %0,1 cozelti (20ml)"
2461,edolar 300 mg fi̇lm kapli tablet
2462,edolar 500 mg 14 film tablet
2463,edolar 600 mg 14 film tablet
2464,edolar fort 400 mg film kapli tablet(14 tablet)
2465,edronax 4 mg 60 tablet
2466,edurant 25 mg 30 film kapli tablet
2467,efamat 1 gr/2 ml im enj. cozelti iceren ampul
2468,efamat jel %5 40 g
2469,"efedrin hidroklorur 0,05 g biosel 1 mlx100 ampul"
2470,efemoline 5 ml steril goz damlasi
2471,efercal 1000 mg 40 efervesan tablet
2472,efermag 365 mg 30 efervesan tablet
2473,efexor xr 150 mg 28 kapsul
2474,"efexor xr 37,5 mg 14 mikropellet kapsul"
2475,efexor xr 75 mg 28 kapsul
2476,effient 10 mg 28 film kapli tablet
2477,efikas mr 30 mg 30 tablet
2478,efikas mr 30 mg 60 tablet
2479,efikas mr 30 mg 90 tablet
2480,efikas mr 60 mg degistirilmis salimli bolunebilir 30 tablet
2481,efikas mr 60 mg degistirilmis salimli bolunebilir 60 tablet
2482,eiseferon 40 mg/5 ml oral cozelti 10 kasik
2483,ekiperta 1g im/iv enjeksiyon icin liyofilize toz
2484,"ekipim 0,5 gr im/iv enjektabl toz iceren 1 flakon"
2485,ekipim 1 gr im/iv enjektabl toz iceren 1 flakon
2486,eklips 100 mg 28 film tablet
2487,eklips 50 mg 28 film tablet
2488,"eklips plus 50/12,5 28 film tablet"
2489,eksofed 5 ml 30 mg 150 ml surup
2490,ekze-mant emulsiyojel 30 gr
2491,elaprase 2 mg/ ml infuzyonluk cozelti hazirlamak icin konsantre (1 flakon)
2492,"elektra %1,25 jel 60 gr"
2493,elektra 25 mg film kapli tablet (20 film kapli tablet)
2494,elektra fort 50 mg film kapli tablet (30 film kapli tablet)
2495,elelyso 200 u inf. cozelti icin liyo. toz 1 flakon
2496,elepsi 100 mg film kapli tablet (56 film kapli tablet)
2497,elepsi 150 mg film kapli tablet (56 film kapli tablet)
2498,elepsi 200 mg film kapli tablet (56 film kapli tablet)
2499,elepsi 50 mg film kapli tablet (14 film kapli tablet)
2500,elfenor %5 jel
2501,elfenor %5 jel (100 g)
2502,"eligard 22,5 mg enj. coz. icin s.c. toz iceren siringa ve coz. iceren siringa"
2503,eligard 45 mg enj. coz. icin s.c. toz iceren siringa ve coz. iceren siringa
2504,"eliquis 2,5 mg film kapli tablet (56 tablet)"
2505,eliquis 5 mg film kapli tablet (56 tablet)
2506,elizaria 300 mg/ 30 ml infuzyonluk cozelti hazirlamak icin konsantre
2507,ella 30 mg film kapli tablet (1 tablet)
2508,elleacnelle 21 draje
2509,elmidam 100 mg sert kapsul (100 kapsul)
2510,elmiron 100 mg 100 kapsul
2511,elnaglip 5 mg film kapli tablet (30 film kapli tablet)
2512,"elocon % 0,1 krem (30 gram)"
2513,"elocon % 0,1 losyon (30 ml)"
2514,"elocon % 0,1 merhem (30 gram)"
2515,elocta 1000 iu iv enjeksiyonluk cozelti hazirlamak icin toz ve cozucu 
2516,elocta 1500 iu iv enjeksiyonluk cozelti hazirlamak icin toz ve cozucu 
2517,elocta 2000 iu iv enjeksiyonluk cozelti hazirlamak icin toz ve cozucu 
2518,elocta 250 iu iv enjeksiyonluk cozelti hazirlamak icin toz ve cozucu 
2519,elocta 3000 iu iv enjeksiyonluk cozelti hazirlamak icin toz ve cozucu 
2520,elocta 500 iu iv enjeksiyonluk cozelti hazirlamak icin toz ve cozucu 
2521,"emadine % 0,05 5 ml oftalmik solusyon"
2522,emedur 100 mg+20 mg 5 suppozituar
2523,emedur 200 mg / 2 ml im enjeksiyonluk cozelti (6 adet)
2524,emedur 200 mg film kapli tablet (20 tablet)
2525,emedur im 200mg/2ml 6 enjektabl ampul
2526,"emeksat % 0,05 goz damlasi, cozeltisi"
2527,emend 3 kapsul
2528,emeset 4 mg/2ml im/iv enjeksiyonluk cozelti iceren 1 ampul
2529,emeset 8 mg/4ml im/iv enjeksiyonluk cozelti iceren 1 ampul
2530,emetril 3 mg/3 ml iv infuzyon cozeltisi iceren 1 ampul
2531,emfer 100mg/5ml enjeksi̇yon ve infuzyon icin konsantre cozelti iceren ampul
2532,emgality 120 mg/ml enjeksiyonluk cozelti iceren kullanima hazir kalem (1 kalem)
2533,emla %5 krem (5 gr 5 adet)
2534,"emoclot 1000 iu/10 ml iv infuzyonluk cozelti
hazirlamak icin toz ve cozucu"
2535,"emoclot 500 iu/10 ml iv infuzyonluk cozelti
hazirlamak icin toz ve cozucu"
2536,emoject 10 mg/2 mlx5 ml im/iv ampul
2537,emselex 15 mg 28 uzatilmis salim tablet
2538,"emselex 7,5 mg 28 uzatilmis salim tablet"
2539,emulid plus jel  50 g
2540,enapril 10 mg 20 tablet
2541,enapril 20 mg 20 tablet
2542,enapril 5 mg 20 tablet
2543,"enaxil 0,2 mg/ ml enjeksiyonluk cozelti (5 ampul)"
2544,enaxil 1 mg/ 5 ml enjeksiyonluk cozelti (1 ampul)
2545,enbrel 25 mg enjeksiyonluk solusyon icin toz (4 flakon)
2546,enbrel 25 mg sc enjeksiyonluk cozelti iceren kullanima hazir 4 enjektor
2547,enbrel pen 50 mg enj. coz.icin kullanima hazir 2 kalem
2548,encef 125 mg/5ml 100 ml oral suspansiyon icin kuru toz
2549,encef 250 mg/5ml 100 ml oral suspansiyon icin kuru toz
2550,encef 300 mg 10 kapsul
2551,encef 300 mg 20 kapsul
2552,encef 600 mg film kapli tablet ( 10 tablet)
2553,endol 100 mg 10 supozituar
2554,endol 25 mg 25 kapsul
2555,endoxan 1g iv infuzyonluk cozelti hazirlamak icin toz
2556,endoxan 50 mg kapli tablet (50 tablet)
2557,endoxan 500 mg iv infuzyonluk cozelti hazirlamak icin toz
2558,enferox 125 mg suda dagilabilen tablet (28 tablet)
2559,enferox 250 mg suda dagilabilen tablet (28 tablet)
2560,enferox 500 mg suda dagilabilen tablet (28 tablet)
2561,enferox easy 360 mg film kapli tablet (30 film kapli tablet)
2562,enferoxeasy 180 mg film kapli tablet (30 film kapli tablet)
2563,enferoxeasy 90 mg film kapli tablet (30 film kapli tablet)
2564,enfexia 250 mg 10 tablet
2565,enfexia 500 mg 10 tablet
2566,enfexia 500 mg 14 tablet
2567,enfexia 500 mg 20 tablet
2568,enfexol 500 mg film kapli tablet (10 tablet)
2569,"enfluat %0,4 steril goz damlasi 5 ml"
2570,enfluvir 12 mg/ml oral suspansiyon icin toz
2571,enfluvir 75 mg 10 kapsul
2572,engerix-b 20 mcg/ 1ml 1 enjektor
2573,"engerix-b pediatric doz 10 mcg/0,5ml 1 enjektor"
2574,enit 10 mg/20 mg 30 tablet
2575,enorno 365 mg efervesan tablet (30 adet)
2576,"enox 4000 anti-xa iu/0,4 ml 10 kullanima hazir enjektor"
2577,"enox 6000 anti-xa iu/0,6 ml 2 kullanima hazir enjektor"
2578,ensure 2 cal cilek aromali 200 ml
2579,ensure 2 cal muz aromali 200 ml
2580,ensure 2 cal vanilya aromali 200 ml
2581,ensure 250 ml cilekli fsmp
2582,ensure 250 ml vanilya aromali fsmp
2583,ensure compact  cilek aromali 4x125 ml
2584,ensure compact  muz aromali 4x125 ml
2585,ensure compact  vanilya aromali 4x125 ml
2586,ensure kakaolu 250 ml
2587,ensure plus cilek aromali 220 ml sise
2588,ensure plus fiber kakaolu 200 ml
2589,ensure plus fiber vanilya aromali 200 ml
2590,ensure plus muz aromali 220 ml sise
2591,ensure plus vanilya aromali 220 ml sise
2592,entyvio 300 mg infuzyonluk cozelti konsantresi icin toz (1 flakon)
2593,enzaflu 75 mg sert kapsul (10 kapsul)
2594,enzofen  % 2 vajinal krem
2595,enzofen 600 mg ovul (2 ovul)
2596,epamor 20 mg/2 ml enjeksiyonluk cozelti (5 ampul)
2597,epamor 30 mg/3ml enjeksi̇yonluk çözelti̇ (5 kartuş)
2598,epamor 50 mg/5 ml enjeksiyonluk cozelti (5 ampul)
2599,epanutin 100 mg 100 kapsul
2600,epdantoin 100 mg 100 tablet
2601,epilem 500 mg/5 ml konsantre inf. coz. iceren 10 flakon
2602,epiritu 10 mg/5 ml iv intravesikal inf. icin konsantre cozelti iceren 1 flakon
2603,epiritu 50 mg/25 ml iv intravezikal infuzyon icin konsantre cozelti iceren 1 flakon
2604,epirubicin kocak 100 mg/50 ml iv inf. hazirlamak icin konsantre cozelti iceren flakon
2605,epitam 1000 mg 50 film tablet
2606,epitam 250 mg 50 film tablet
2607,epitam 500 mg 50 film tablet
2608,epitam xr 500 mg 50 film kapli tablet
2609,epitam xr 750 mg 50 film kapli  tablet
2610,epitoin 250 mg/5 ml enj. solusyon iceren ampul
2611,epivir 150 mg 60 tablet
2612,epivir 240 ml oral solusyon
2613,epixx  100 mg/ml oral cozelti 150 ml + 1ml enjektor
2614,epixx  100 mg/ml oral cozelti 150 ml + 3ml enjektor
2615,epixx 100 mg/ml oral solusyon 300 ml
2616,epixx 1000 mg 50 film tablet
2617,epixx 250 mg 50 film tablet
2618,epixx 500 mg 50 film tablet
2619,epixx 750 mg 50 film tablet
2620,epixx xr 500 mg 50 film tablet
2621,epixx xr 750 mg 50 film tablet
2622,epizonya 100 mg kapsul (100 kapsul)
2623,epleday 25 mg 30 film tablet
2624,epobel 10000 iu/1 ml i.v. /s.c. steril enjeksiyonluk cozelti iceren kullanima hazir enjektor
2625,"epobel 3000 iu/0,9 ml i.v. /s.c. steril enjeksiyonluk cozelti iceren kullanima hazir enjektor 6 enjektor"
2626,"epobel 4000 iu/0,4 ml iv steril 6 kullanima haz. enj."
2627,"epobel 5000 iu/0,5 ml iv steril 6 kullanima haz. enj."
2628,"eporon 10000 iu/1,0 ml kullanima hazir 5 enjektor"
2629,"eporon 4000 iu/0,4 ml kullanima hazir 6 enjektor"
2630,"epostin % 0,05 oftalmik emulsiyon iceren tek dozluk 30 flakon "
2631,eqiceft- im 1000 mg 1 flakon
2632,eqiceft- im 500 mg 1 flakon
2633,eqiceft- iv 1000 mg 1 flakon
2634,eqiceft- iv 500 mg 1 flakon
2635,"eqitax 0,5 gr im/iv enj.toz iceren 1 flakon"
2636,eqitax 1 gr im/iv enj.toz iceren 15 ml 1 flakon+ 4 ml coz. ampul
2637,eqizolin- im 1000 mg 1 flakon
2638,eqizolin- im/iv 1000 mg 1 flakon
2639,eqizolin- im/iv 500 mg 1 flakon
2640,eraxis 100 mg inf. coz. icin toz iceren 1 flakon ve cozucu
2641,erbitux 100 mg/20 ml iv infuzyon icin cozelti iceren 1 flakon
2642,erbitux 500 mg/100 ml iv infuzyon icin cozelti iceren 1 flakon
2643,erdobil 175 mg/5 ml oral suspansiyon hazirlamak icin toz (100 ml)
